37.386820000	-122.264950000	447.5
37.387400000	-122.265840000	452.3	
37.389300000	-122.268290000	465.6	
37.390770000	-122.270270000	484.2	
37.390970000	-122.270620000	483.1	
37.391210000	-122.271280000	480.9	
37.391340000	-122.271940000	478.8	
37.391340000	-122.273650000	476.8	
37.391260000	-122.274150000	481.6	
37.391110000	-122.274440000	485.9	
37.390900000	-122.274640000	490.8	
37.390030000	-122.275030000	499.5	
37.389160000	-122.275340000	507.1	
37.388940000	-122.275490000	507.6	
37.388780000	-122.275750000	506.2	
37.388710000	-122.276070000	504.9	
37.388750000	-122.276400000	507.5	
37.388840000	-122.276620000	511.7	
37.389180000	-122.277120000	519.9	
37.389240000	-122.277370000	518.6	
37.389220000	-122.277650000	518.2	
37.389000000	-122.278240000	518.5	
37.388950000	-122.278620000	523.7	
37.388960000	-122.278790000	526.1	
37.389160000	-122.279330000	530.0	
37.389180000	-122.279610000	528.1	
37.389110000	-122.279910000	528.8	
37.388680000	-122.280480000	534.1	
37.388610000	-122.280820000	538.6	
37.388650000	-122.281160000	539.8	
37.388800000	-122.281460000	541.0	
37.389020000	-122.281630000	542.4	
37.389570000	-122.281800000	548.6	
37.389850000	-122.281970000	553.6	
37.390140000	-122.282350000	554.2	
37.390900000	-122.283530000	563.0	
37.391130000	-122.283790000	566.7	
37.391490000	-122.283980000	566.9	
37.392080000	-122.284030000	572.3	
37.392320000	-122.284200000	576.7	
37.392420000	-122.284550000	577.4	
37.392410000	-122.284750000	578.5	
37.392260000	-122.285300000	578.1	
37.392320000	-122.285780000	582.6	
37.392510000	-122.286100000	586.6	
37.393080000	-122.286580000	589.3	
37.393410000	-122.286940000	589.0	
37.393800000	-122.287880000	600.5	
37.393830000	-122.288140000	598.4	
37.393790000	-122.288360000	600.9	
37.393710000	-122.288560000	606.5	
37.393540000	-122.288760000	613.5	
37.393270000	-122.288870000	615.1	
37.392370000	-122.288770000	613.8	
37.392110000	-122.288930000	616.0	
37.391920000	-122.289220000	615.3	
37.391870000	-122.289530000	613.8	
37.391980000	-122.289920000	616.8	
37.392350000	-122.290610000	625.7	
37.392670000	-122.291050000	626.7	
37.393340000	-122.291770000	637.9	
37.393520000	-122.291920000	638.8	
37.393730000	-122.292000000	641.0	
37.394020000	-122.292030000	642.1	
37.394240000	-122.291990000	643.4	
37.394880000	-122.291690000	651.1	
37.395220000	-122.291700000	655.2	
37.395410000	-122.291790000	654.2	
37.395570000	-122.291940000	654.6	
37.395670000	-122.292120000	654.7	
37.396090000	-122.293350000	671.8	
37.396240000	-122.293620000	671.3	
37.396500000	-122.293820000	670.7	
37.397080000	-122.293970000	669.7	
37.397450000	-122.293980000	668.7	
37.397640000	-122.293870000	669.5	
37.398090000	-122.293310000	669.1	
37.398240000	-122.293200000	668.6	
37.398670000	-122.293100000	668.9	
37.398810000	-122.293140000	668.2	
37.399040000	-122.293300000	667.6	
37.399640000	-122.293970000	666.8	
37.399920000	-122.294450000	668.1	
37.400320000	-122.296300000	664.9	
37.400570000	-122.296840000	664.8	
37.400880000	-122.297340000	663.7	
37.401260000	-122.297780000	662.3	
37.401660000	-122.298100000	663.6	
37.402130000	-122.298380000	664.2	
37.402520000	-122.298740000	666.4	
37.405340000	-122.302580000	677.2	
37.405570000	-122.302990000	679.8	
37.405850000	-122.303620000	678.6	
37.406030000	-122.304300000	677.6	
37.406660000	-122.306030000	679.5	
37.406960000	-122.306550000	682.6	
37.407370000	-122.307030000	688.5	
37.407740000	-122.307270000	689.6	
37.408070000	-122.307410000	690.6	
37.408570000	-122.307550000	694.9	
37.408850000	-122.307540000	699.5	
37.409220000	-122.307460000	700.3	
37.409570000	-122.307260000	700.0	
37.410230000	-122.306730000	701.3	
37.410690000	-122.306240000	704.5	
37.410940000	-122.306110000	704.2	
37.411240000	-122.306110000	702.0	
37.411420000	-122.306160000	700.3	
37.411890000	-122.306550000	697.8	
37.412830000	-122.307400000	686.1	
37.413200000	-122.307910000	689.4	
37.413320000	-122.308150000	691.4	
37.413410000	-122.308510000	695.5	
37.413400000	-122.309440000	701.4	
37.413460000	-122.310140000	699.7	
37.413660000	-122.310690000	702.1	
37.415040000	-122.313230000	713.0	
37.416970000	-122.316930000	697.5	
37.417130000	-122.317350000	697.0	
37.417290000	-122.318200000	689.8	
37.417410000	-122.318530000	685.2	
37.417710000	-122.318930000	687.0	
37.418130000	-122.319180000	687.7	
37.418390000	-122.319210000	686.8	
37.418560000	-122.319170000	686.4	
37.419520000	-122.318720000	687.5	
37.420710000	-122.318760000	680.7	
37.421530000	-122.318890000	678.5	
37.423270000	-122.319560000	664.4	
37.423540000	-122.319550000	665.0	
37.423770000	-122.319410000	665.3	
37.423970000	-122.319050000	663.5	
37.423940000	-122.315780000	639.0	
37.424030000	-122.315330000	636.8	
37.424250000	-122.314930000	638.0	
37.424910000	-122.313950000	639.2	
37.426140000	-122.311500000	635.6	
37.426590000	-122.310990000	632.3	
37.427080000	-122.310800000	632.7	
37.427430000	-122.310770000	629.1	
37.427850000	-122.310880000	625.2	
37.428200000	-122.311140000	625.8	
37.430670000	-122.313880000	608.8	
37.432230000	-122.315050000	616.6	
37.434140000	-122.317110000	613.0	
37.434360000	-122.317470000	617.1	
37.434660000	-122.318190000	616.9	
37.434950000	-122.319630000	615.9	
37.435060000	-122.320010000	615.7	
37.435330000	-122.320530000	617.6	
37.435540000	-122.320770000	619.1	
37.439900000	-122.323360000	638.4	
37.441370000	-122.324490000	632.8	
37.441950000	-122.325090000	634.9	
37.445490000	-122.329710000	625.4	
37.446210000	-122.330780000	620.7	
37.446770000	-122.331850000	621.1	
37.448130000	-122.335710000	627.1	
37.448380000	-122.336230000	629.2	
37.448730000	-122.336790000	627.1	
37.449380000	-122.337660000	620.1	
37.450270000	-122.338420000	619.1	
37.453220000	-122.340320000	614.2	
37.453570000	-122.340480000	610.3	
37.453990000	-122.340590000	609.3	
37.454400000	-122.340630000	609.6	
37.454860000	-122.340560000	607.9	
37.455280000	-122.340420000	607.3	
37.455650000	-122.340220000	606.9	
37.456080000	-122.339860000	603.2	
37.457150000	-122.338600000	591.6	
37.457420000	-122.338390000	589.6	
37.457870000	-122.338310000	588.2	
37.458080000	-122.338370000	585.9	
37.458310000	-122.338510000	583.2	
37.458470000	-122.338690000	581.8	
37.458630000	-122.338970000	581.1	
37.460980000	-122.345210000	545.4	
37.461110000	-122.345490000	547.0	
37.461320000	-122.345760000	542.2	
37.461670000	-122.346020000	537.8	
37.462000000	-122.346110000	535.0	
37.462310000	-122.346100000	534.3	
37.462990000	-122.345880000	528.9	
37.463410000	-122.345810000	528.3	
37.463760000	-122.345840000	526.6	
37.464220000	-122.346010000	521.0	
37.468390000	-122.349370000	488.4	
37.468930000	-122.349940000	483.4	
37.469320000	-122.350620000	478.6	
37.469530000	-122.351250000	475.1	
37.469640000	-122.351990000	469.1	
37.469710000	-122.353730000	462.4	
37.469850000	-122.354280000	464.8	
